0,n,neutron,1,1.00866491597
1,H,hydrogen,1,1.0078250321
1,H,hydrogen,2,2.014101778
1,H,hydrogen,3,3.0160492675
1,H,hydrogen,4,4.02783
1,H,hydrogen,5,5.03954
1,H,hydrogen,6,6.04494
2,He,helium,3,3.0160293097
2,He,helium,4,4.0026032497
2,He,helium,5,5.01222
2,He,helium,6,6.0188881
2,He,helium,7,7.02803
2,He,helium,8,8.033922
2,He,helium,9,9.04382
2,He,helium,10,10.0524
3,Li,lithium,4,4.02718
3,Li,lithium,5,5.01254
3,Li,lithium,6,6.0151223
3,Li,lithium,7,7.016004
3,Li,lithium,8,8.0224867
3,Li,lithium,9,9.0267891
3,Li,lithium,10,10.035481
3,Li,lithium,11,11.043796
3,Li,lithium,12,12.05378
4,Be,beryllium,5,5.04079
4,Be,beryllium,6,6.019726
4,Be,beryllium,7,7.0169292
4,Be,beryllium,8,8.00530509
4,Be,beryllium,9,9.0121821
4,Be,beryllium,10,10.0135337
4,Be,beryllium,11,11.021658
4,Be,beryllium,12,12.026921
4,Be,beryllium,13,13.03613
4,Be,beryllium,14,14.04282
5,B,boron,7,7.02992
5,B,boron,8,8.0246067
5,B,boron,9,9.0133288
5,B,boron,10,10.012937
5,B,boron,11,11.0093055
5,B,boron,12,12.0143521
5,B,boron,13,13.0177803
5,B,boron,14,14.025404
5,B,boron,15,15.031097
5,B,boron,16,16.03981
5,B,boron,17,17.04693
5,B,boron,18,18.05617
5,B,boron,19,19.06373
6,C,carbon,8,8.037675
6,C,carbon,9,9.0310401
6,C,carbon,10,10.0168531
6,C,carbon,11,11.0114338
6,C,carbon,12,12.0
6,C,carbon,13,13.0033548378
6,C,carbon,14,14.003241988
6,C,carbon,15,15.0105993
6,C,carbon,16,16.014701
6,C,carbon,17,17.022584
6,C,carbon,18,18.02676
6,C,carbon,19,19.03525
6,C,carbon,20,20.04032
6,C,carbon,21,21.04934
6,C,carbon,22,22.05645
7,N,nitrogen,10,10.04262
7,N,nitrogen,11,11.0268
7,N,nitrogen,12,12.0186132
7,N,nitrogen,13,13.00573858
7,N,nitrogen,14,14.0030740052
7,N,nitrogen,15,15.0001088984
7,N,nitrogen,16,16.0061014
7,N,nitrogen,17,17.00845
7,N,nitrogen,18,18.014082
7,N,nitrogen,19,19.017027
7,N,nitrogen,20,20.02337
7,N,nitrogen,21,21.02709
7,N,nitrogen,22,22.03444
7,N,nitrogen,23,23.04051
7,N,nitrogen,24,24.0505
8,O,oxygen,12,12.034405
8,O,oxygen,13,13.02481
8,O,oxygen,14,14.00859529
8,O,oxygen,15,15.0030654
8,O,oxygen,16,15.9949146221
8,O,oxygen,17,16.9991315
8,O,oxygen,18,17.9991604
8,O,oxygen,19,19.003579
8,O,oxygen,20,20.0040762
8,O,oxygen,21,21.008655
8,O,oxygen,22,22.00997
8,O,oxygen,23,23.01569
8,O,oxygen,24,24.02037
8,O,oxygen,25,25.02914
8,O,oxygen,26,26.03775
9,F,fluorine,14,14.03608
9,F,fluorine,15,15.01801
9,F,fluorine,16,16.011466
9,F,fluorine,17,17.00209524
9,F,fluorine,18,18.0009377
9,F,fluorine,19,18.9984032
9,F,fluorine,20,19.99998132
9,F,fluorine,21,20.9999489
9,F,fluorine,22,22.002999
9,F,fluorine,23,23.00357
9,F,fluorine,24,24.0081
9,F,fluorine,25,25.01209
9,F,fluorine,26,26.01963
9,F,fluorine,27,27.02689
9,F,fluorine,28,28.03567
9,F,fluorine,29,29.04326
10,Ne,neon,16,16.025757
10,Ne,neon,17,17.0177
10,Ne,neon,18,18.0056971
10,Ne,neon,19,19.0018798
10,Ne,neon,20,19.9924401759
10,Ne,neon,21,20.99384674
10,Ne,neon,22,21.99138551
10,Ne,neon,23,22.99446734
10,Ne,neon,24,23.993615
10,Ne,neon,25,24.99779
10,Ne,neon,26,26.00046
10,Ne,neon,27,27.00762
10,Ne,neon,28,28.01211
10,Ne,neon,29,29.01935
10,Ne,neon,30,30.02387
10,Ne,neon,31,31.03311
10,Ne,neon,32,32.03991
11,Na,sodium,18,18.02718
11,Na,sodium,19,19.013879
11,Na,sodium,20,20.007348
11,Na,sodium,21,20.9976551
11,Na,sodium,22,21.9944368
11,Na,sodium,23,22.98976967
11,Na,sodium,24,23.99096333
11,Na,sodium,25,24.9899544
11,Na,sodium,26,25.99259
11,Na,sodium,27,26.99401
11,Na,sodium,28,27.99889
11,Na,sodium,29,29.00281
11,Na,sodium,30,30.00923
11,Na,sodium,31,31.0136
11,Na,sodium,32,32.01965
11,Na,sodium,33,33.02739
11,Na,sodium,34,34.0349
11,Na,sodium,35,35.04418
12,Mg,magnesium,20,20.018863
12,Mg,magnesium,21,21.011714
12,Mg,magnesium,22,21.9995741
12,Mg,magnesium,23,22.9941249
12,Mg,magnesium,24,23.9850419
12,Mg,magnesium,25,24.98583702
12,Mg,magnesium,26,25.98259304
12,Mg,magnesium,27,26.98434074
12,Mg,magnesium,28,27.9838767
12,Mg,magnesium,29,28.98855
12,Mg,magnesium,30,29.99046
12,Mg,magnesium,31,30.99655
12,Mg,magnesium,32,31.99915
12,Mg,magnesium,33,33.00559
12,Mg,magnesium,34,34.00907
12,Mg,magnesium,35,35.01749
12,Mg,magnesium,36,36.02245
12,Mg,magnesium,37,37.03124
13,Al,aluminum,21,21.02804
13,Al,aluminum,22,22.01952
13,Al,aluminum,23,23.007265
13,Al,aluminum,24,23.999941
13,Al,aluminum,25,24.9904286
13,Al,aluminum,26,25.98689166
13,Al,aluminum,27,26.98153844
13,Al,aluminum,28,27.98191018
13,Al,aluminum,29,28.9804448
13,Al,aluminum,30,29.98296
13,Al,aluminum,31,30.983946
13,Al,aluminum,32,31.98812
13,Al,aluminum,33,32.99087
13,Al,aluminum,34,33.99693
13,Al,aluminum,35,34.99994
13,Al,aluminum,36,36.00635
13,Al,aluminum,37,37.01031
13,Al,aluminum,38,38.0169
13,Al,aluminum,39,39.0219
14,Si,silicon,22,22.03453
14,Si,silicon,23,23.02552
14,Si,silicon,24,24.011546
14,Si,silicon,25,25.004107
14,Si,silicon,26,25.99233
14,Si,silicon,27,26.98670476
14,Si,silicon,28,27.9769265327
14,Si,silicon,29,28.97649472
14,Si,silicon,30,29.97377022
14,Si,silicon,31,30.97536327
14,Si,silicon,32,31.9741481
14,Si,silicon,33,32.978001
14,Si,silicon,34,33.978576
14,Si,silicon,35,34.98458
14,Si,silicon,36,35.98669
14,Si,silicon,37,36.993
14,Si,silicon,38,37.99598
14,Si,silicon,39,39.0023
14,Si,silicon,40,40.0058
14,Si,silicon,41,41.0127
14,Si,silicon,42,42.0161
15,P,phosphorus,24,24.03435
15,P,phosphorus,25,25.02026
15,P,phosphorus,26,26.01178
15,P,phosphorus,27,26.99919
15,P,phosphorus,28,27.992312
15,P,phosphorus,29,28.9818014
15,P,phosphorus,30,29.9783138
15,P,phosphorus,31,30.97376151
15,P,phosphorus,32,31.97390716
15,P,phosphorus,33,32.9717253
15,P,phosphorus,34,33.973636
15,P,phosphorus,35,34.9733142
15,P,phosphorus,36,35.97826
15,P,phosphorus,37,36.97961
15,P,phosphorus,38,37.98447
15,P,phosphorus,39,38.98642
15,P,phosphorus,40,39.99105
15,P,phosphorus,41,40.9948
15,P,phosphorus,42,42.00009
15,P,phosphorus,43,43.00331
15,P,phosphorus,44,44.00988
15,P,phosphorus,45,45.01514
15,P,phosphorus,46,46.02383
16,S,sulfur,26,26.02788
16,S,sulfur,27,27.0188
16,S,sulfur,28,28.00437
16,S,sulfur,29,28.99661
16,S,sulfur,30,29.984903
16,S,sulfur,31,30.9795544
16,S,sulfur,32,31.97207069
16,S,sulfur,33,32.9714585
16,S,sulfur,34,33.96786683
16,S,sulfur,35,34.96903214
16,S,sulfur,36,35.96708088
16,S,sulfur,37,36.97112572
16,S,sulfur,38,37.971163
16,S,sulfur,39,38.97514
16,S,sulfur,40,39.97547
16,S,sulfur,41,40.98003
16,S,sulfur,42,41.98149
16,S,sulfur,43,42.9866
16,S,sulfur,44,43.98832
16,S,sulfur,45,44.99482
16,S,sulfur,46,45.99957
16,S,sulfur,47,47.00762
16,S,sulfur,48,48.01299
16,S,sulfur,49,49.02201
17,Cl,chlorine,28,28.02851
17,Cl,chlorine,29,29.01411
17,Cl,chlorine,30,30.00477
17,Cl,chlorine,31,30.99242
17,Cl,chlorine,32,31.985689
